"57","9","DHARMAPURI","55","DHARMAPURI"
"58","10","ERODE","56","BHAVANI"
"59","10","ERODE","57","GOBICHETTIPALAYAM"
"6","1","KANCHEEPURAM","6","MARAIMALAINAGAR"
"60","10","ERODE","58","KASIPALAYAM"
"61","10","ERODE","59","PERIYASEMUR"
"62","10","ERODE","60","PUNJAIPULIAMPATTI"
"63","10","ERODE","61","SATHIYAMANGALAM"
"64","10","ERODE","62","SURAMPATTI"
"65","10","ERODE","63","VEERAPPANCHATRAM"
"66","10","ERODE","64","VELLAKOIL"
"67","11","COIMBATORE","65","GOUNDAMPALAYAM"
"68","11","COIMBATORE","66","KUNIYAMUTHUR"
"69","11","COIMBATORE","67","KURICHI"
"7","1","KANCHEEPURAM","7","PALLAVAPURAM"
"70","11","COIMBATORE","68","METTUPALAYAM"
"71","11","COIMBATORE","70","POLLACHI"
"72","11","COIMBATORE","71","VALPARAI"
"73","12","THE NILGIRIS","72","COONOOR"
"74","12","THE NILGIRIS","73","GUDALUR"
"75","12","THE NILGIRIS","74","NELLIYALAM"
"76","12","THE NILGIRIS","75","UDHAGAMANDALAM"
"77","13","THANJAVUR","76","KUMBAKONAM"
"78","13","THANJAVUR","77","PATTUKOTTAI"
"79","13","THANJAVUR","78","THANJAVUR"
"8","1","KANCHEEPURAM","8","PAMMAL"
"80","14","NAGAPATTINAM","79","MAYILADUTHURAI"
"81","14","NAGAPATTINAM","80","NAGAPATTINAM"
"82","14","NAGAPATTINAM","81","SIRKALI"
"83","14","NAGAPATTINAM","82","VEDARANYAM"
"84","15","TIRUVARUR","83","KOOTHANALLUR"
"85","15","TIRUVARUR","84","MANNARGUDI"
"86","15","TIRUVARUR","85","THIRUTHURAIPOONDI"
"87","15","TIRUVARUR","86","TIRUVARUR"
"88","16","TIRUCHIRAPPALLI","87","MANAPPARAI"
"89","16","TIRUCHIRAPPALLI","88","THURAIYUR"
"9","1","KANCHEEPURAM","9","PUZHUTHIVAKKAM"
"90","16","TIRUCHIRAPPALLI","89","THUVAKUDI"
"91","17","KARUR","90","INAMKARUR"
"92","17","KARUR","91","KARUR"
"93","17","KARUR","92","KULITHALAI"
"94","17","KARUR","93","THANTHONI"
"95","18","PERAMBALUR","94","PERAMBALUR"
"96","19","PUDUKKOTTAI","95","ARANTHANGI"
"97","19","PUDUKKOTTAI","96","PUDUKOTTAI"
"98","20","MADURAI","97","ANIYUR"
"99","20","MADURAI","98","AVANIYAPURAM"
